Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2013_P1B_00,2013,Paper 1B,1,0,0,0,,2013.JPG,Paper 1B Table,"0,0",High,Verified,Standard conversion
2013_P1B_01,2013,Paper 1B,2,1,1,0,,2013.JPG,Paper 1B Table,"1,0",High,Verified,Standard conversion
2013_P1B_02,2013,Paper 1B,3,2,2,1,,2013.JPG,Paper 1B Table,"2,1",High,Verified,Standard conversion
2013_P1B_03,2013,Paper 1B,4,3,3,1,,2013.JPG,Paper 1B Table,"3,1",High,Verified,Standard conversion
2013_P1B_04,2013,Paper 1B,5,4,4,2,,2013.JPG,Paper 1B Table,"4,2",High,Verified,Standard conversion
2013_P1B_05,2013,Paper 1B,6,5,5,2,,2013.JPG,Paper 1B Table,"5,2",High,Verified,Standard conversion
2013_P1B_06,2013,Paper 1B,7,6,6,2,,2013.JPG,Paper 1B Table,"6,2",High,Verified,Standard conversion
2013_P1B_07,2013,Paper 1B,8,7,7,3,,2013.JPG,Paper 1B Table,"7,3",High,Verified,Standard conversion
2013_P1B_08,2013,Paper 1B,9,8,8,3,,2013.JPG,Paper 1B Table,"8,3",High,Verified,Standard conversion
2013_P1B_09,2013,Paper 1B,10,9,9,3,,2013.JPG,Paper 1B Table,"9,3",High,Verified,Standard conversion
2013_P1B_10,2013,Paper 1B,11,10,10,3,,2013.JPG,Paper 1B Table,"10,3",High,Verified,Standard conversion
2013_P1B_11,2013,Paper 1B,12,11,11,4,,2013.JPG,Paper 1B Table,"11,4",High,Verified,Standard conversion
2013_P1B_12,2013,Paper 1B,13,12,12,4,,2013.JPG,Paper 1B Table,"12,4",High,Verified,Standard conversion
2013_P1B_13,2013,Paper 1B,14,13,13,5,,2013.JPG,Paper 1B Table,"13,5",High,Verified,Standard conversion
2013_P1B_14,2013,Paper 1B,15,14,14,5,,2013.JPG,Paper 1B Table,"14,5",High,Verified,Standard conversion
2013_P1B_15,2013,Paper 1B,16,15,15,6,,2013.JPG,Paper 1B Table,"15,6",High,Verified,Standard conversion
2013_P1B_16,2013,Paper 1B,17,16,16,6,,2013.JPG,Paper 1B Table,"16,6",High,Verified,Standard conversion
2013_P1B_17,2013,Paper 1B,18,17,17,7,,2013.JPG,Paper 1B Table,"17,7",High,Verified,Standard conversion
2013_P1B_18,2013,Paper 1B,19,18,18,7,,2013.JPG,Paper 1B Table,"18,7",High,Verified,Standard conversion
2013_P1B_19,2013,Paper 1B,20,19,19,8,,2013.JPG,Paper 1B Table,"19,8",High,Verified,Standard conversion
2013_P1B_20,2013,Paper 1B,21,20,20,8,,2013.JPG,Paper 1B Table,"20,8",High,Verified,Standard conversion
2013_P1B_21,2013,Paper 1B,22,21,21,9,,2013.JPG,Paper 1B Table,"21,9",High,Verified,Standard conversion
2013_P1B_22,2013,Paper 1B,23,22,22,10,,2013.JPG,Paper 1B Table,"22,10",High,Verified,Standard conversion
2013_P1B_23,2013,Paper 1B,24,23,23,11,,2013.JPG,Paper 1B Table,"23,11",High,Verified,Standard conversion
2013_P1B_24,2013,Paper 1B,25,24,24,11,,2013.JPG,Paper 1B Table,"24,11",High,Verified,Standard conversion
2013_P1B_25,2013,Paper 1B,26,25,25,12,,2013.JPG,Paper 1B Table,"25,12",High,Verified,Standard conversion
2013_P1B_26,2013,Paper 1B,27,26,26,13,,2013.JPG,Paper 1B Table,"26,13",High,Verified,Standard conversion
2013_P1B_27,2013,Paper 1B,28,27,27,14,,2013.JPG,Paper 1B Table,"27,14",High,Verified,Standard conversion
2013_P1B_28,2013,Paper 1B,29,28,28,15,,2013.JPG,Paper 1B Table,"28,15",High,Verified,Standard conversion
2013_P1B_29,2013,Paper 1B,30,29,29,16,,2013.JPG,Paper 1B Table,"29,16",High,Verified,Standard conversion
2013_P1B_30,2013,Paper 1B,31,30,30,17,,2013.JPG,Paper 1B Table,"30,17",High,Verified,Standard conversion
2013_P1B_31,2013,Paper 1B,32,31,31,18,,2013.JPG,Paper 1B Table,"31,18",High,Verified,Standard conversion
2013_P1B_32,2013,Paper 1B,33,32,32,19,,2013.JPG,Paper 1B Table,"32,19",High,Verified,Standard conversion
2013_P1B_33,2013,Paper 1B,34,33,33,21,,2013.JPG,Paper 1B Table,"33,21",High,Verified,Standard conversion
2013_P1B_34,2013,Paper 1B,35,34,34,22,,2013.JPG,Paper 1B Table,"34,22",High,Verified,Standard conversion
2013_P1B_35,2013,Paper 1B,36,35,35,23,,2013.JPG,Paper 1B Table,"35,23",High,Verified,Standard conversion
2013_P1B_36,2013,Paper 1B,37,36,36,25,,2013.JPG,Paper 1B Table,"36,25",High,Verified,Standard conversion
2013_P1B_37,2013,Paper 1B,38,37,37,27,,2013.JPG,Paper 1B Table,"37,27",High,Verified,Standard conversion
2013_P1B_38,2013,Paper 1B,39,38,38,30,,2013.JPG,Paper 1B Table,"38,30",High,Verified,Standard conversion
2013_P1B_39,2013,Paper 1B,40,39,39,33,,2013.JPG,Paper 1B Table,"39,33",High,Verified,Standard conversion
2013_P1B_40,2013,Paper 1B,41,40,40,37,,2013.JPG,Paper 1B Table,"40,37",High,Verified,Standard conversion
2013_P1B_41,2013,Paper 1B,42,41,41,41,,2013.JPG,Paper 1B Table,"41,41",High,Verified,Standard conversion
2013_P3B_00,2013,Paper 3B,1,0,0,0,,2013.JPG,Paper 3B Table,"0,0",High,Verified,Standard conversion
2013_P3B_01,2013,Paper 3B,2,1,1,1,,2013.JPG,Paper 3B Table,"1,1",High,Verified,Standard conversion
2013_P3B_02,2013,Paper 3B,3,2,2,2,,2013.JPG,Paper 3B Table,"2,2",High,Verified,Standard conversion
2013_P3B_03,2013,Paper 3B,4,3,3,3,,2013.JPG,Paper 3B Table,"3,3",High,Verified,Standard conversion
2013_P3B_04,2013,Paper 3B,5,4,4,4,,2013.JPG,Paper 3B Table,"4,4",High,Verified,Standard conversion
2013_P3B_05,2013,Paper 3B,6,5,5,4,,2013.JPG,Paper 3B Table,"5,4",High,Verified,Standard conversion
2013_P3B_06,2013,Paper 3B,7,6,6,4,,2013.JPG,Paper 3B Table,"6,4",High,Verified,Standard conversion
2013_P3B_07,2013,Paper 3B,8,7,7,5,,2013.JPG,Paper 3B Table,"7,5",High,Verified,Standard conversion
2013_P3B_08,2013,Paper 3B,9,8,8,5,,2013.JPG,Paper 3B Table,"8,5",High,Verified,Standard conversion
2013_P3B_09,2013,Paper 3B,10,9,9,5,,2013.JPG,Paper 3B Table,"9,5",High,Verified,Standard conversion
2013_P3B_10,2013,Paper 3B,11,10,10,5,,2013.JPG,Paper 3B Table,"10,5",High,Verified,Standard conversion
2013_P3B_11,2013,Paper 3B,12,11,11,6,,2013.JPG,Paper 3B Table,"11,6",High,Verified,Standard conversion
2013_P3B_12,2013,Paper 3B,13,12,12,6,,2013.JPG,Paper 3B Table,"12,6",High,Verified,Standard conversion
2013_P3B_13,2013,Paper 3B,14,13,13,6,,2013.JPG,Paper 3B Table,"13,6",High,Verified,Standard conversion
2013_P3B_14,2013,Paper 3B,15,14,14,7,,2013.JPG,Paper 3B Table,"14,7",High,Verified,Standard conversion
2013_P3B_15,2013,Paper 3B,16,15,15,7,,2013.JPG,Paper 3B Table,"15,7",High,Verified,Standard conversion
2013_P3B_16,2013,Paper 3B,17,16,16,7,,2013.JPG,Paper 3B Table,"16,7",High,Verified,Standard conversion
2013_P3B_17,2013,Paper 3B,18,17,17,7,,2013.JPG,Paper 3B Table,"17,7",High,Verified,Standard conversion
2013_P3B_18,2013,Paper 3B,19,18,18,8,,2013.JPG,Paper 3B Table,"18,8",High,Verified,Standard conversion
2013_P3B_19,2013,Paper 3B,20,19,19,8,,2013.JPG,Paper 3B Table,"19,8",High,Verified,Standard conversion
