Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2018_1B_00,2018,1B,1,0,0,0,,2018.JPG,Paper 1B Table (left),0 | 0,1.0,Verified,
2018_1B_01,2018,1B,2,1,1,0,,2018.JPG,Paper 1B Table (left),1 | 0,1.0,Verified,
2018_1B_02,2018,1B,3,2,2,1,,2018.JPG,Paper 1B Table (left),2 | 1,1.0,Verified,
2018_1B_03,2018,1B,4,3,3,1,,2018.JPG,Paper 1B Table (left),3 | 1,1.0,Verified,
2018_1B_04,2018,1B,5,4,4,1,,2018.JPG,Paper 1B Table (left),4 | 1,1.0,Verified,
2018_1B_05,2018,1B,6,5,5,2,,2018.JPG,Paper 1B Table (left),5 | 2,1.0,Verified,
2018_1B_06,2018,1B,7,6,6,2,,2018.JPG,Paper 1B Table (left),6 | 2,1.0,Verified,
2018_1B_07,2018,1B,8,7,7,2,,2018.JPG,Paper 1B Table (left),7 | 2,1.0,Verified,
2018_1B_08,2018,1B,9,8,8,2,,2018.JPG,Paper 1B Table (left),8 | 2,1.0,Verified,
2018_1B_09,2018,1B,10,9,9,3,,2018.JPG,Paper 1B Table (left),9 | 3,1.0,Verified,
2018_1B_10,2018,1B,11,10,10,3,,2018.JPG,Paper 1B Table (left),10 | 3,1.0,Verified,
2018_1B_11,2018,1B,12,11,11,3,,2018.JPG,Paper 1B Table (left),11 | 3,1.0,Verified,
2018_1B_12,2018,1B,13,12,12,4,,2018.JPG,Paper 1B Table (left),12 | 4,1.0,Verified,
2018_1B_13,2018,1B,14,13,13,4,,2018.JPG,Paper 1B Table (left),13 | 4,1.0,Verified,
2018_1B_14,2018,1B,15,14,14,5,,2018.JPG,Paper 1B Table (left),14 | 5,1.0,Verified,
2018_1B_15,2018,1B,16,15,15,5,,2018.JPG,Paper 1B Table (left),15 | 5,1.0,Verified,
2018_1B_16,2018,1B,17,16,16,5,,2018.JPG,Paper 1B Table (left),16 | 5,1.0,Verified,
2018_1B_17,2018,1B,18,17,17,5,,2018.JPG,Paper 1B Table (left),17 | 5,1.0,Verified,
2018_1B_18,2018,1B,19,18,18,6,,2018.JPG,Paper 1B Table (left),18 | 6,1.0,Verified,
2018_1B_19,2018,1B,20,19,19,6,,2018.JPG,Paper 1B Table (left),19 | 6,1.0,Verified,
2018_1B_20,2018,1B,21,20,20,7,,2018.JPG,Paper 1B Table (left),20 | 7,1.0,Verified,
2018_1B_21,2018,1B,22,21,21,8,,2018.JPG,Paper 1B Table (left),21 | 8,1.0,Verified,
2018_1B_22,2018,1B,23,22,22,8,,2018.JPG,Paper 1B Table (left),22 | 8,1.0,Verified,
2018_1B_23,2018,1B,24,23,23,9,,2018.JPG,Paper 1B Table (left),23 | 9,1.0,Verified,
2018_1B_24,2018,1B,25,24,24,10,,2018.JPG,Paper 1B Table (left),24 | 10,1.0,Verified,
2018_1B_25,2018,1B,26,25,25,10,,2018.JPG,Paper 1B Table (left),25 | 10,1.0,Verified,
2018_1B_26,2018,1B,27,26,26,11,,2018.JPG,Paper 1B Table (left),26 | 11,1.0,Verified,
2018_1B_27,2018,1B,28,27,27,12,,2018.JPG,Paper 1B Table (left),27 | 12,1.0,Verified,
2018_1B_28,2018,1B,29,28,28,13,,2018.JPG,Paper 1B Table (left),28 | 13,1.0,Verified,
2018_1B_29,2018,1B,30,29,29,14,,2018.JPG,Paper 1B Table (left),29 | 14,1.0,Verified,
