Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2021_1B_001,2021,1B,1,0,0,0,,2021.JPG,Left Table,0 | 0,High,Verified,
2021_1B_002,2021,1B,2,1,1,0,,2021.JPG,Left Table,1 | 0,High,Verified,
2021_1B_003,2021,1B,3,2,2,1,,2021.JPG,Left Table,2 | 1,High,Verified,
2021_1B_004,2021,1B,4,3,3,1,,2021.JPG,Left Table,3 | 1,High,Verified,
2021_1B_005,2021,1B,5,4,4,1,,2021.JPG,Left Table,4 | 1,High,Verified,
2021_1B_006,2021,1B,6,5,5,2,,2021.JPG,Left Table,5 | 2,High,Verified,
2021_1B_007,2021,1B,7,6,6,2,,2021.JPG,Left Table,6 | 2,High,Verified,
2021_1B_008,2021,1B,8,7,7,3,,2021.JPG,Left Table,7 | 3,High,Verified,
2021_1B_009,2021,1B,9,8,8,3,,2021.JPG,Left Table,8 | 3,High,Verified,
2021_1B_010,2021,1B,10,9,9,4,,2021.JPG,Left Table,9 | 4,High,Verified,
2021_1B_011,2021,1B,11,10,10,4,,2021.JPG,Left Table,10 | 4,High,Verified,
2021_1B_012,2021,1B,12,11,11,5,,2021.JPG,Left Table,11 | 5,High,Verified,
2021_1B_013,2021,1B,13,12,12,5,,2021.JPG,Left Table,12 | 5,High,Verified,
2021_1B_014,2021,1B,14,13,13,5,,2021.JPG,Left Table,13 | 5,High,Verified,
2021_1B_015,2021,1B,15,14,14,6,,2021.JPG,Left Table,14 | 6,High,Verified,
2021_1B_016,2021,1B,16,15,15,6,,2021.JPG,Left Table,15 | 6,High,Verified,
2021_1B_017,2021,1B,17,16,16,6,,2021.JPG,Left Table,16 | 6,High,Verified,
2021_1B_018,2021,1B,18,17,17,7,,2021.JPG,Left Table,17 | 7,High,Verified,
2021_1B_019,2021,1B,19,18,18,7,,2021.JPG,Left Table,18 | 7,High,Verified,
2021_1B_020,2021,1B,20,19,19,7,,2021.JPG,Left Table,19 | 7,High,Verified,
2021_1B_021,2021,1B,21,20,20,8,,2021.JPG,Left Table,20 | 8,High,Verified,
2021_1B_022,2021,1B,22,21,21,8,,2021.JPG,Left Table,21 | 8,High,Verified,
2021_1B_023,2021,1B,23,22,22,9,,2021.JPG,Left Table,22 | 9,High,Verified,
2021_1B_024,2021,1B,24,23,23,9,,2021.JPG,Left Table,23 | 9,High,Verified,
2021_1B_025,2021,1B,25,24,24,10,,2021.JPG,Left Table,24 | 10,High,Verified,
2021_1B_026,2021,1B,26,25,25,10,,2021.JPG,Left Table,25 | 10,High,Verified,
2021_1B_027,2021,1B,27,26,26,11,,2021.JPG,Left Table,26 | 11,High,Verified,
2021_1B_028,2021,1B,28,27,27,12,,2021.JPG,Left Table,27 | 12,High,Verified,
2021_1B_029,2021,1B,29,28,28,13,,2021.JPG,Left Table,28 | 13,High,Verified,
2021_1B_030,2021,1B,30,29,29,14,,2021.JPG,Left Table,29 | 14,High,Verified,
2021_1B_031,2021,1B,31,30,30,15,,2021.JPG,Left Table,30 | 15,High,Verified,
2021_1B_032,2021,1B,32,31,31,16,,2021.JPG,Left Table,31 | 16,High,Verified,
2021_1B_033,2021,1B,33,32,32,17,,2021.JPG,Left Table,32 | 17,High,Verified,
2021_1B_034,2021,1B,34,33,33,18,,2021.JPG,Left Table,33 | 18,High,Verified,
2021_1B_035,2021,1B,35,34,34,20,,2021.JPG,Left Table,34 | 20,High,Verified,
2021_1B_036,2021,1B,36,35,35,22,,2021.JPG,Left Table,35 | 22,High,Verified,
2021_1B_037,2021,1B,37,36,36,24,,2021.JPG,Left Table,36 | 24,High,Verified,
2021_1B_038,2021,1B,38,37,37,26,,2021.JPG,Left Table,37 | 26,High,Verified,
2021_1B_039,2021,1B,39,38,38,28,,2021.JPG,Left Table,38 | 28,High,Verified,
2021_1B_040,2021,1B,40,39,39,30,,2021.JPG,Left Table,39 | 30,High,Verified,
2021_1B_041,2021,1B,41,40,40,32,,2021.JPG,Left Table,40 | 32,High,Verified,
2021_1B_042,2021,1B,42,41,41,35,,2021.JPG,Left Table,41 | 35,High,Verified,
2021_1B_043,2021,1B,43,42,42,38,,2021.JPG,Left Table,42 | 38,High,Verified,
2021_3B_001,2021,3B,1,0,0,0,,2021.JPG,Middle Table,0 | 0,High,Verified,
2021_3B_002,2021,3B,2,1,1,1,,2021.JPG,Middle Table,1 | 1,High,Verified,
2021_3B_003,2021,3B,3,2,2,1,,2021.JPG,Middle Table,2 | 1,High,Verified,
2021_3B_004,2021,3B,4,3,3,2,,2021.JPG,Middle Table,3 | 2,High,Verified,
2021_3B_005,2021,3B,5,4,4,2,,2021.JPG,Middle Table,4 | 2,High,Verified,
2021_3B_006,2021,3B,6,5,5,3,,2021.JPG,Middle Table,5 | 3,High,Verified,
2021_3B_007,2021,3B,7,6,6,3,,2021.JPG,Middle Table,6 | 3,High,Verified,
2021_3B_008,2021,3B,8,7,7,4,,2021.JPG,Middle Table,7 | 4,High,Verified,
2021_3B_009,2021,3B,9,8,8,4,,2021.JPG,Middle Table,8 | 4,High,Verified,
2021_3B_010,2021,3B,10,9,9,5,,2021.JPG,Middle Table,9 | 5,High,Verified,
2021_3B_011,2021,3B,11,10,10,5,,2021.JPG,Middle Table,10 | 5,High,Verified,
2021_3B_012,2021,3B,12,11,11,6,,2021.JPG,Middle Table,11 | 6,High,Verified,
2021_3B_013,2021,3B,13,12,12,6,,2021.JPG,Middle Table,12 | 6,High,Verified,
2021_3B_014,2021,3B,14,13,13,7,,2021.JPG,Middle Table,13 | 7,High,Verified,
2021_3B_015,2021,3B,15,14,14,7,,2021.JPG,Middle Table,14 | 7,High,Verified,
2021_3B_016,2021,3B,16,15,15,8,,2021.JPG,Middle Table,15 | 8,High,Verified,
2021_3B_017,2021,3B,17,16,16,8,,2021.JPG,Middle Table,16 | 8,High,Verified,
2021_3B_018,2021,3B,18,17,17,9,,2021.JPG,Middle Table,17 | 9,High,Verified,
2021_3B_019,2021,3B,19,18,18,9,,2021.JPG,Middle Table,18 | 9,High,Verified,
2021_3B_020,2021,3B,20,19,19,10,,2021.JPG,Middle Table,19 | 10,High,Verified,
2021_3B_021,2021,3B,21,20,20,10,,2021.JPG,Middle Table,20 | 10,High,Verified,
2021_3B_022,2021,3B,22,21,21,11,,2021.JPG,Middle Table,21 | 11,High,Verified,
2021_3B_023,2021,3B,23,22,22,11,,2021.JPG,Middle Table,22 | 11,High,Verified,
2021_3B_024,2021,3B,24,23,23,11,,2021.JPG,Middle Table,23 | 11,High,Verified,
2021_3B_025,2021,3B,25,24,24,12,,2021.JPG,Middle Table,24 | 12,High,Verified,
2021_3B_026,2021,3B,26,25,25,12,,2021.JPG,Middle Table,25 | 12,High,Verified,
2021_3B_027,2021,3B,27,26,26,12,,2021.JPG,Middle Table,26 | 12,High,Verified,
2021_3B_028,2021,3B,28,27,27,13,,2021.JPG,Middle Table,27 | 13,High,Verified,
2021_3B_029,2021,3B,29,28,28,13,,2021.JPG,Middle Table,28 | 13,High,Verified,
2021_3B_030,2021,3B,30,29,29,14,,2021.JPG,Middle Table,29 | 14,High,Verified,
2021_3B_031,2021,3B,31,30,30,14,,2021.JPG,Middle Table,30 | 14,High,Verified,
2021_3B_032,2021,3B,32,31,31,15,,2021.JPG,Middle Table,31 | 15,High,Verified,
2021_3B_033,2021,3B,33,32,32,15,,2021.JPG,Middle Table,32 | 15,High,Verified,
2021_3B_034,2021,3B,34,33,33,16,,2021.JPG,Middle Table,33 | 16,High,Verified,
2021_3B_035,2021,3B,35,34,34,17,,2021.JPG,Middle Table,34 | 17,High,Verified,
2021_3B_036,2021,3B,36,35,35,17,,2021.JPG,Middle Table,35 | 17,High,Verified,
2021_3B_037,2021,3B,37,36,36,18,,2021.JPG,Middle Table,36 | 18,High,Verified,
2021_3B_038,2021,3B,38,37,37,19,,2021.JPG,Middle Table,37 | 19,High,Verified,
2021_3B_039,2021,3B,39,38,38,19,,2021.JPG,Middle Table,38 | 19,High,Verified,
2021_3B_040,2021,3B,40,39,39,20,,2021.JPG,Middle Table,39 | 20,High,Verified,
2021_3B_041,2021,3B,41,40,40,21,,2021.JPG,Middle Table,40 | 21,High,Verified,
2021_3B_042,2021,3B,42,41,41,22,,2021.JPG,Middle Table,41 | 22,High,Verified,
2021_3B_043,2021,3B,43,42,42,23,,2021.JPG,Middle Table,42 | 23,High,Verified,
2021_3B_044,2021,3B,44,43,43,24,,2021.JPG,Right Table,43 | 24,High,Verified,Continuation Table
2021_3B_045,2021,3B,45,44,44,26,,2021.JPG,Right Table,44 | 26,High,Verified,Continuation Table
2021_3B_046,2021,3B,46,45,45,27,,2021.JPG,Right Table,45 | 27,High,Verified,Continuation Table
2021_3B_047,2021,3B,47,46,46,28,,2021.JPG,Right Table,46 | 28,High,Verified,Continuation Table
2021_3B_048,2021,3B,48,47,47,30,,2021.JPG,Right Table,47 | 30,High,Verified,Continuation Table
2021_3B_049,2021,3B,49,48,48,32,,2021.JPG,Right Table,48 | 32,High,Verified,Continuation Table
2021_3B_050,2021,3B,50,49,49,34,,2021.JPG,Right Table,49 | 34,High,Verified,Continuation Table
2021_3B_051,2021,3B,51,50,50,37,,2021.JPG,Right Table,50 | 37,High,Verified,Continuation Table
