Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2024_1B_001,2024,Paper 1B,1,0,0,0,,2024.JPG,Paper 1B table (bottom),0 | 0,High,Verified,
2024_1B_002,2024,Paper 1B,2,1,1,0,,2024.JPG,Paper 1B table (bottom),1 | 0,High,Verified,
2024_1B_003,2024,Paper 1B,3,2,2,0,,2024.JPG,Paper 1B table (bottom),2 | 0,High,Verified,
2024_1B_004,2024,Paper 1B,4,3,3,1,,2024.JPG,Paper 1B table (bottom),3 | 1,High,Verified,
2024_1B_005,2024,Paper 1B,5,4,4,1,,2024.JPG,Paper 1B table (bottom),4 | 1,High,Verified,
2024_1B_006,2024,Paper 1B,6,5,5,1,,2024.JPG,Paper 1B table (bottom),5 | 1,High,Verified,
2024_1B_007,2024,Paper 1B,7,6,6,2,,2024.JPG,Paper 1B table (bottom),6 | 2,High,Verified,
2024_1B_008,2024,Paper 1B,8,7,7,2,,2024.JPG,Paper 1B table (bottom),7 | 2,High,Verified,
2024_1B_009,2024,Paper 1B,9,8,8,2,,2024.JPG,Paper 1B table (bottom),8 | 2,High,Verified,
2024_1B_010,2024,Paper 1B,10,9,9,3,,2024.JPG,Paper 1B table (bottom),9 | 3,High,Verified,
2024_1B_011,2024,Paper 1B,11,10,10,3,,2024.JPG,Paper 1B table (bottom),10 | 3,High,Verified,
2024_1B_012,2024,Paper 1B,12,11,11,3,,2024.JPG,Paper 1B table (bottom),11 | 3,High,Verified,
2024_1B_013,2024,Paper 1B,13,12,12,3,,2024.JPG,Paper 1B table (bottom),12 | 3,High,Verified,
2024_1B_014,2024,Paper 1B,14,13,13,4,,2024.JPG,Paper 1B table (bottom),13 | 4,High,Verified,
2024_1B_015,2024,Paper 1B,15,14,14,4,,2024.JPG,Paper 1B table (bottom),14 | 4,High,Verified,
2024_1B_016,2024,Paper 1B,16,15,15,4,,2024.JPG,Paper 1B table (bottom),15 | 4,High,Verified,
