Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2025_1B_00,2025,1B,1,0,0,0,,2025.JPG,Paper 1B Table,0 | 0,High,Verified,
2025_1B_01,2025,1B,2,1,1,1,,2025.JPG,Paper 1B Table,1 | 1,High,Verified,
2025_1B_02,2025,1B,3,2,2,1,,2025.JPG,Paper 1B Table,2 | 1,High,Verified,
2025_1B_03,2025,1B,4,3,3,2,,2025.JPG,Paper 1B Table,3 | 2,High,Verified,
2025_1B_04,2025,1B,5,4,4,2,,2025.JPG,Paper 1B Table,4 | 2,High,Verified,
2025_1B_05,2025,1B,6,5,5,2,,2025.JPG,Paper 1B Table,5 | 2,High,Verified,
2025_1B_06,2025,1B,7,6,6,3,,2025.JPG,Paper 1B Table,6 | 3,High,Verified,
2025_1B_07,2025,1B,8,7,7,3,,2025.JPG,Paper 1B Table,7 | 3,High,Verified,
2025_1B_08,2025,1B,9,8,8,3,,2025.JPG,Paper 1B Table,8 | 3,High,Verified,
2025_1B_09,2025,1B,10,9,9,4,,2025.JPG,Paper 1B Table,9 | 4,High,Verified,
2025_1B_10,2025,1B,11,10,10,4,,2025.JPG,Paper 1B Table,10 | 4,High,Verified,
2025_1B_11,2025,1B,12,11,11,4,,2025.JPG,Paper 1B Table,11 | 4,High,Verified,
2025_1B_12,2025,1B,13,12,12,4,,2025.JPG,Paper 1B Table,12 | 4,High,Verified,
2025_1B_13,2025,1B,14,13,13,5,,2025.JPG,Paper 1B Table,13 | 5,High,Verified,
2025_1B_14,2025,1B,15,14,14,5,,2025.JPG,Paper 1B Table,14 | 5,High,Verified,
2025_1B_15,2025,1B,16,15,15,5,,2025.JPG,Paper 1B Table,15 | 5,High,Verified,
2025_1B_16,2025,1B,17,16,16,5,,2025.JPG,Paper 1B Table,16 | 5,High,Verified,
2025_1B_17,2025,1B,18,17,17,6,,2025.JPG,Paper 1B Table,17 | 6,High,Verified,
2025_1B_18,2025,1B,19,18,18,6,,2025.JPG,Paper 1B Table,18 | 6,High,Verified,
2025_1B_19,2025,1B,20,19,19,6,,2025.JPG,Paper 1B Table,19 | 6,High,Verified,
2025_1B_20,2025,1B,21,20,20,6,,2025.JPG,Paper 1B Table,20 | 6,High,Verified,
2025_1B_21,2025,1B,22,21,21,7,,2025.JPG,Paper 1B Table,21 | 7,High,Verified,
2025_1B_22,2025,1B,23,22,22,7,,2025.JPG,Paper 1B Table,22 | 7,High,Verified,
2025_1B_23,2025,1B,24,23,23,7,,2025.JPG,Paper 1B Table,23 | 7,High,Verified,
2025_1B_24,2025,1B,25,24,24,8,,2025.JPG,Paper 1B Table,24 | 8,High,Verified,
2025_1B_25,2025,1B,26,25,25,8,,2025.JPG,Paper 1B Table,25 | 8,High,Verified,
2025_1B_26,2025,1B,27,26,26,8,,2025.JPG,Paper 1B Table,26 | 8,High,Verified,
2025_1B_27,2025,1B,28,27,27,9,,2025.JPG,Paper 1B Table,27 | 9,High,Verified,
2025_1B_28,2025,1B,29,28,28,9,,2025.JPG,Paper 1B Table,28 | 9,High,Verified,
2025_1B_29,2025,1B,30,29,29,10,,2025.JPG,Paper 1B Table,29 | 10,High,Verified,
2025_1B_30,2025,1B,31,30,30,11,,2025.JPG,Paper 1B Table,30 | 11,High,Verified,
2025_1B_31,2025,1B,32,31,31,12,,2025.JPG,Paper 1B Table,31 | 12,High,Verified,
2025_1B_32,2025,1B,33,32,32,13,,2025.JPG,Paper 1B Table,32 | 13,High,Verified,
2025_1B_33,2025,1B,34,33,33,14,,2025.JPG,Paper 1B Table,33 | 14,High,Verified,
